"Rel","Lines","Catch","Sentry","Posthog","Router","ROUTES","Escape","Console","Alert","A11yLines","Pressable","Hex"
"app\(tabs)\activity.tsx","65","0","False","False","False","False","False","False","False","5","5","0"
"app\(tabs)\create.tsx","16","0","False","False","False","False","False","False","False","0","0","0"
"app\(tabs)\discover.tsx","899","0","False","True","True","True","False","False","False","10","11","0"
"app\(tabs)\index.tsx","1016","1","False","True","True","True","False","False","False","17","18","0"
"app\(tabs)\profile.tsx","939","2","False","True","True","True","False","False","False","24","26","0"
"app\(tabs)\teams.tsx","46","0","False","False","True","True","False","False","False","2","3","0"
"app\(tabs)\_layout.tsx","155","0","True","False","False","False","False","False","False","2","3","0"
"app\accountability\add.tsx","242","2","False","False","True","True","False","False","False","5","5","0"
"app\api\trpc\[trpc]+api.ts","51","0","False","False","False","False","False","False","False","0","0","0"
"app\api\health+api.ts","12","0","False","False","False","False","False","False","False","0","0","0"
"app\auth\forgot-password.tsx","188","1","False","False","True","True","False","False","False","7","7","0"
"app\auth\login.tsx","438","3","False","True","True","True","False","False","False","16","15","0"
"app\auth\signup.tsx","535","2","False","True","True","True","False","False","False","14","11","0"
"app\auth\_layout.tsx","10","0","False","False","False","False","False","False","False","0","0","0"
"app\challenge\active\[activeChallengeId].tsx","643","1","False","True","True","True","False","False","False","12","13","0"
"app\challenge\complete.tsx","314","2","False","True","True","True","False","False","False","6","7","0"
"app\challenge\[id].tsx","1505","12","False","True","True","True","False","False","False","35","32","0"
"app\create\index.tsx","5","0","False","False","False","False","False","False","False","0","0","0"
"app\create\_layout.tsx","4","0","False","False","False","False","False","False","False","0","0","0"
"app\invite\[code].tsx","35","0","False","False","True","True","False","False","False","0","0","0"
"app\legal\privacy-policy.tsx","47","0","False","True","False","False","False","False","False","0","0","0"
"app\legal\terms.tsx","48","0","False","False","False","False","False","False","False","0","0","0"
"app\legal\_layout.tsx","9","0","False","False","False","False","False","False","False","0","0","0"
"app\onboarding\index.tsx","13","0","False","False","False","False","False","False","False","0","0","0"
"app\onboarding\_layout.tsx","14","0","False","False","False","False","False","False","False","0","0","0"
"app\post\[id].tsx","557","3","False","True","True","True","False","False","False","20","21","0"
"app\profile\[username].tsx","888","3","False","True","True","True","False","False","False","21","22","0"
"app\task\checkin-styles.ts","324","0","False","False","False","False","False","False","False","0","0","0"
"app\task\checkin.tsx","594","1","False","False","True","True","False","False","False","6","7","0"
"app\task\complete.tsx","14","0","False","False","False","False","False","False","False","0","0","0"
"app\task\run-styles.ts","544","0","False","False","False","False","False","False","False","0","0","0"
"app\task\run.tsx","912","0","False","False","True","True","False","False","False","26","25","0"
"app\+not-found.tsx","53","0","False","False","False","False","False","False","False","2","3","0"
"app\accountability.tsx","431","4","False","False","True","True","False","False","False","14","15","0"
"app\create-challenge.tsx","13","0","False","False","False","False","False","False","False","0","0","0"
"app\create-profile.tsx","314","2","False","True","True","True","False","False","False","5","3","0"
"app\edit-profile.tsx","274","1","False","False","True","True","False","False","False","4","5","0"
"app\follow-list.tsx","310","0","False","False","True","True","False","False","False","7","7","0"
"app\paywall.tsx","626","0","False","True","True","True","False","False","False","12","12","0"
"app\settings.tsx","360","6","False","False","True","True","False","False","False","14","15","0"
"app\_layout.tsx","428","2","True","True","True","True","False","False","False","2","3","0"
"components\activity\activity-styles.ts","446","0","False","False","False","False","False","False","False","0","0","0"
"components\activity\LeaderboardTab.tsx","722","0","False","False","True","True","False","False","False","22","24","0"
"components\activity\NotificationsTab.tsx","317","3","False","False","True","True","False","False","False","10","12","0"
"components\activity\types.ts","26","0","False","False","False","False","False","False","False","0","0","0"
"components\challenge\challengeDetailScreenStyles.ts","1152","0","False","False","False","False","False","False","False","0","0","0"
"components\challenge\ChallengeHero.tsx","139","0","False","False","False","False","False","False","False","6","7","0"
"components\challenge\challengeInfoChip.tsx","19","0","False","False","False","False","False","False","False","0","0","0"
"components\challenge\ChallengeLeaderboard.tsx","41","0","False","False","False","False","False","False","False","0","0","0"
"components\challenge\challengeSocialAvatars.tsx","23","0","False","False","False","False","False","False","False","0","0","0"
"components\challenge\ChallengeStats.tsx","27","0","False","False","False","False","False","False","False","0","0","0"
"components\challenge\ChallengeTodayGoals.tsx","14","0","False","False","False","False","False","False","False","0","0","0"
"components\challenge\LogProgressModal.tsx","190","1","False","False","False","False","False","False","False","8","9","0"
"components\challenge\SharedGoalProgress.tsx","292","0","False","False","False","False","False","False","False","2","3","0"
"components\challenge\TeamMemberList.tsx","200","0","False","False","False","False","False","False","False","0","0","0"
"components\challenges\HeroFeaturedCard.tsx","132","0","False","False","False","False","False","False","False","4","3","0"
"components\challenges\JoinCelebrationModal.tsx","175","2","False","False","False","False","False","False","False","5","8","0"
"components\create\steps\StepBasics.tsx","184","0","False","False","False","False","False","False","False","11","7","0"
"components\create\steps\StepReview.tsx","265","0","False","False","False","False","False","False","False","7","7","0"
"components\create\steps\StepRules.tsx","215","0","False","False","False","False","False","False","False","11","9","0"
"components\create\steps\StepTasks.tsx","124","0","False","False","False","False","False","False","False","7","7","0"
"components\create\CommitModal.tsx","155","0","False","False","False","False","False","False","False","6","7","0"
"components\create\CreateChallengeWizard.tsx","456","1","False","False","True","True","False","False","False","4","5","0"
"components\create\DraftExitModal.tsx","58","0","False","False","True","False","False","False","False","8","12","0"
"components\create\NewTaskModal.tsx","1838","0","False","False","False","False","False","False","False","58","23","0"
