"Rel","Lines"
"app\(tabs)\_layout.tsx","155"
"app\(tabs)\activity.tsx","65"
"app\(tabs)\create.tsx","16"
"app\(tabs)\discover.tsx","899"
"app\(tabs)\index.tsx","1016"
"app\(tabs)\profile.tsx","939"
"app\(tabs)\teams.tsx","46"
"app\_layout.tsx","428"
"app\+not-found.tsx","53"
"app\accountability.tsx","431"
"app\accountability\add.tsx","242"
"app\api\health+api.ts","12"
"app\api\trpc\[trpc]+api.ts","51"
"app\auth\_layout.tsx","10"
"app\auth\forgot-password.tsx","188"
"app\auth\login.tsx","438"
"app\auth\signup.tsx","535"
"app\challenge\[id].tsx","1505"
"app\challenge\active\[activeChallengeId].tsx","643"
"app\challenge\complete.tsx","314"
"app\create\_layout.tsx","4"
"app\create\index.tsx","5"
"app\create-challenge.tsx","13"
"app\create-profile.tsx","314"
"app\edit-profile.tsx","274"
"app\follow-list.tsx","310"
"app\invite\[code].tsx","35"
"app\legal\_layout.tsx","9"
"app\legal\privacy-policy.tsx","47"
"app\legal\terms.tsx","48"
"app\onboarding\_layout.tsx","14"
"app\onboarding\index.tsx","13"
"app\paywall.tsx","626"
"app\post\[id].tsx","557"
"app\profile\[username].tsx","888"
"app\settings.tsx","360"
"app\task\checkin.tsx","594"
"app\task\checkin-styles.ts","324"
"app\task\complete.tsx","14"
"app\task\run.tsx","912"
"app\task\run-styles.ts","544"
"components\activity\activity-styles.ts","446"
"components\activity\LeaderboardTab.tsx","722"
"components\activity\NotificationsTab.tsx","317"
"components\activity\types.ts","26"
"components\AnalyticsBootstrap.tsx","17"
"components\AuthGateModal.tsx","171"
"components\Avatar.tsx","65"
"components\Celebration.tsx","268"
"components\challenge\challengeDetailScreenStyles.ts","1152"
"components\challenge\ChallengeHero.tsx","139"
"components\challenge\challengeInfoChip.tsx","19"
"components\challenge\ChallengeLeaderboard.tsx","41"
"components\challenge\challengeSocialAvatars.tsx","23"
"components\challenge\ChallengeStats.tsx","27"
"components\challenge\ChallengeTodayGoals.tsx","14"
"components\challenge\LogProgressModal.tsx","190"
"components\challenge\SharedGoalProgress.tsx","292"
"components\challenge\TeamMemberList.tsx","200"
"components\challenges\HeroFeaturedCard.tsx","132"
"components\challenges\JoinCelebrationModal.tsx","175"
"components\create\CommitModal.tsx","155"
"components\create\CreateChallengeWizard.tsx","456"
"components\create\DraftExitModal.tsx","58"
"components\create\NewTaskModal.tsx","1838"
"components\create\steps\StepBasics.tsx","184"
"components\create\steps\StepReview.tsx","265"
"components\create\steps\StepRules.tsx","215"
"components\create\steps\StepTasks.tsx","124"
"components\create\wizard-shared.tsx","89"
"components\create\WizardStepFooter.tsx","118"
"components\create\wizard-styles.ts","304"
"components\discover\ActivityTicker.tsx","187"
"components\discover\CompactChallengeRow.tsx","161"
"components\discover\DiscoverChallengeCards.tsx","309"
"components\discover\FilterChips.tsx","74"
"components\discover\PickedForYou.tsx","196"
"components\ErrorBoundary.tsx","95"
"components\ErrorRetry.tsx","54"
"components\feed\FeedCardHeader.tsx","175"
"components\feed\FeedEngagementRow.tsx","119"
"components\feed\FeedPostCard.tsx","398"
"components\feed\feedTypes.ts","36"
"components\feed\MilestonePostCard.tsx","128"
"components\feed\WhoRespectedSheet.tsx","200"
"components\home\ActiveChallenges.tsx","183"
"components\home\ActiveTaskCard.tsx","131"
"components\home\ChallengeCard.tsx","207"
"components\home\DailyBonus.tsx","102"
"components\home\DailyQuote.tsx","50"
"components\home\DailyStatus.tsx","149"
"components\home\DiscoverCTA.tsx","68"
"components\home\EmptyChallengesCard.tsx","69"
"components\home\ExploreChallengesButton.tsx","47"
"components\home\GoalCard.tsx","359"
"components\home\index.ts","8"
"components\home\NextUnlock.tsx","76"
"components\home\PointsExplainer.tsx","173"
"components\home\StreakHero.tsx","170"
"components\home\WeekStrip.tsx","155"
"components\InlineError.tsx","78"
"components\LiveFeedSection.tsx","663"
"components\OfflineBanner.tsx","31"
"components\onboarding\OnboardingFlow.tsx","148"
"components\onboarding\onboarding-theme.ts","125"
"components\onboarding\ProgressDots.tsx","44"
"components\onboarding\screens\AutoSuggestChallengeScreen.tsx","313"
"components\onboarding\screens\GoalSelection.tsx","118"
"components\onboarding\screens\ProfileSetup.tsx","298"
"components\onboarding\screens\SignUpScreen.tsx","293"
"components\onboarding\screens\ValueSplash.tsx","175"
"components\PremiumBadge.tsx","50"
"components\profile\AchievementsSection.tsx","155"
"components\profile\BadgeDetailModal.tsx","121"
"components\profile\CompletedChallengesSection.tsx","137"
"components\profile\DisciplineCalendar.tsx","178"
"components\profile\DisciplineGrowthCard.tsx","138"
"components\profile\DisciplineScoreCard.tsx","136"
"components\profile\index.ts","22"
"components\profile\LifetimeStatsCard.tsx","99"
"components\profile\ProfileCompletionCard.tsx","102"
"components\profile\ProfileHeader.tsx","216"
"components\profile\ShareDisciplineCard.tsx","119"
"components\profile\SocialStatsCard.tsx","84"
"components\profile\TierProgressBar.tsx","75"
"components\ProofShareCard.tsx","239"
"components\settings\AccountDangerZone.tsx","180"
"components\settings\ReminderSection.tsx","292"
"components\settings\settings-styles.ts","202"
"components\settings\VisibilitySection.tsx","100"
"components\share\ShareCards.tsx","769"
"components\share\ShareSheetModal.tsx","509"
"components\ShareCard.tsx","165"
"components\shared\Card.tsx","35"
"components\shared\CelebrationOverlay.tsx","322"
"components\shared\ConfirmDialog.tsx","126"
"components\shared\ErrorState.tsx","45"
"components\shared\FormInput.tsx","91"
"components\shared\ImageViewerModal.tsx","147"
"components\shared\LoadingState.tsx","29"
"components\shared\ProofShareOverlay.tsx","20"
"components\shared\ReportChallengeModal.tsx","228"
"components\shared\SectionHeader.tsx","46"
"components\skeletons\index.ts","8"
"components\skeletons\SkeletonBase.tsx","87"
"components\skeletons\SkeletonChallengeCard.tsx","43"
"components\skeletons\SkeletonChallengeDetail.tsx","46"
"components\skeletons\SkeletonFeedCard.tsx","50"
"components\skeletons\SkeletonHeroCard.tsx","29"
"components\skeletons\SkeletonHomeChallengeCard.tsx","53"
"components\skeletons\SkeletonLeaderboardRow.tsx","34"
"components\skeletons\SkeletonProfile.tsx","46"
"components\StreakFreezeModal.tsx","125"
"components\task\RunPickerColumn.tsx","78"
"components\task\TaskCompleteCelebration.tsx","328"
"components\task\TaskCompleteForm.tsx","671"
"components\task\task-complete-styles.ts","494"
"components\task\VerificationGates.tsx","372"
"components\TaskEditorModal.tsx","1680"
"components\TimeWindowPrompt.tsx","181"
"components\ui\Card.tsx","48"
"components\ui\CategoryTag.tsx","46"
"components\ui\ChallengeCard24h.tsx","169"
"components\ui\ChallengeCardFeatured.tsx","244"
"components\ui\ChallengeRowCard.tsx","165"
"components\ui\Chip.tsx","116"
"components\ui\CreateFlowCheckbox.tsx","58"
"components\ui\CreateFlowHeader.tsx","105"
"components\ui\CreateFlowInput.tsx","54"
"components\ui\DurationPill.tsx","48"
"components\ui\EmptyState.tsx","133"
"components\ui\EnforcementBlock.tsx","26"
"components\ui\GRIITWordmark.tsx","61"
"components\ui\index.ts","19"
"components\ui\InitialCircle.tsx","36"
"components\ui\Input.tsx","37"
"components\ui\PrimaryButton.tsx","150"
"components\ui\Screen.tsx","56"
"components\ui\SearchBar.tsx","54"
"components\ui\SectionHeader.tsx","43"
"components\ui\TaskTypeCard.tsx","92"
"contexts\ApiContext.tsx","216"
"contexts\AppContext.tsx","441"
"contexts\AuthContext.tsx","78"
"contexts\AuthGateContext.tsx","72"
"contexts\ThemeContext.tsx","22"
"hooks\useAppChallengeMutations.ts","268"
"hooks\useCelebration.ts","67"
"hooks\useCreateChallengeWizardPersistence.ts","336"
"hooks\useDebounce.ts","13"
"hooks\useInlineError.ts","11"
"hooks\useJournalInput.ts","29"
"hooks\useJournalSubmit.ts","62"
"hooks\useNetworkStatus.ts","39"
"hooks\useNotificationScheduler.ts","173"
"hooks\usePhotoCapture.ts","86"
"hooks\useProStatus.ts","11"
"hooks\useScreenTracker.ts","26"
"hooks\useTaskCompleteScreen.tsx","795"
"hooks\useTaskCompleteShareCardProps.ts","188"
"hooks\useTaskTimer.ts","76"
"lib\active-task-timer.ts","117"
"lib\analytics.ts","150"
"lib\api.test.ts","44"
"lib\api.ts","270"
"lib\auth-expiry.ts","16"
"lib\auth-helpers.ts","31"
"lib\avatar.ts","62"
"lib\badge-descriptions.ts","45"
"lib\build-task-config-param.ts","40"
"lib\challenge-packs.ts","221"
"lib\challenge-timer.ts","38"
"lib\client-error-reporting.ts","26"
"lib\config.ts","28"
"lib\constants\storage-keys.ts","20"
"lib\create-challenge-helpers.ts","370"
"lib\create-selection.ts","7"
"lib\date-utils.ts","63"
"lib\deep-links.ts","28"
"lib\derive-user-rank.ts","11"
"lib\design-system.ts","867"
"lib\estimate-daily-time.ts","67"
"lib\feature-flags.ts","44"
"lib\formatTime.ts","8"
"lib\formatTimeAgo.test.ts","44"
"lib\formatTimeAgo.ts","18"
"lib\geo.ts","19"
"lib\live-activity.ts","138"
"lib\logger.ts","24"
"lib\mutations.ts","20"
"lib\notification-copy.ts","211"
"lib\notifications.ts","661"
"lib\onboarding-pending.ts","41"
"lib\posthog.ts","33"
"lib\prefetch-queries.ts","38"
"lib\premium.ts","33"
"lib\profile-badges.tsx","32"
"lib\profile-display.ts","23"
"lib\query-client.ts","26"
"lib\quotes.ts","56"
"lib\register-push-token.ts","74"
"lib\revenue-cat.ts","20"
"lib\review-prompt.ts","55"
"lib\routes.ts","51"
"lib\sanitize.ts","45"
"lib\scoring.ts","7"
"lib\sentry.ts","59"
"lib\share.ts","182"
"lib\signout-cleanup.ts","27"
"lib\subscription.ts","236"
"lib\supabase.ts","18"
"lib\task-hard-verification.ts","16"
"lib\task-helpers.ts","98"
"lib\task-progress.ts","139"
"lib\theme\colors.ts","29"
"lib\theme\createFlowStyles.ts","69"
"lib\theme\index.ts","7"
"lib\theme\radius.ts","11"
"lib\theme\shadows.ts","21"
"lib\theme\shared-styles.ts","42"
"lib\theme\spacing.ts","12"
"lib\theme\tokens.ts","192"
"lib\theme\typography.ts","16"
"lib\theme-palettes.ts","114"
"lib\time-enforcement.test.ts","65"
"lib\time-enforcement.ts","169"
"lib\trpc.ts","107"
"lib\trpc-errors.test.ts","31"
"lib\trpc-errors.ts","33"
"lib\trpc-paths.ts","144"
"lib\uploadAvatar.ts","111"
"lib\uploadProofImage.ts","136"
"lib\utils.ts","49"
"lib\utils\relativeTime.ts","11"
"types\index.ts","596"
"types\netinfo.d.ts","9"
"types\react-native-purchases.d.ts","37"
