"N","Rel","Lines","ImportersP","LooseNameHits"
"1","app\(tabs)\_layout.tsx","155","0","1"
"2","app\(tabs)\activity.tsx","65","0","318"
"3","app\(tabs)\create.tsx","16","0","764"
"4","app\(tabs)\discover.tsx","899","0","226"
"5","app\(tabs)\index.tsx","1016","0","131"
"6","app\(tabs)\profile.tsx","939","0","1040"
"7","app\(tabs)\teams.tsx","46","0","38"
"8","app\_layout.tsx","428","0","1"
"9","app\+not-found.tsx","53","0","0"
"10","app\accountability.tsx","431","0","71"
"11","app\accountability\add.tsx","242","0","1164"
"12","app\api\health+api.ts","12","0","0"
"13","app\api\trpc\[trpc]+api.ts","51","0","38"
"14","app\auth\_layout.tsx","10","0","1"
"15","app\auth\forgot-password.tsx","188","0","5"
"16","app\auth\login.tsx","438","0","28"
"17","app\auth\signup.tsx","535","0","50"
"18","app\challenge\[id].tsx","1505","0","42283"
"19","app\challenge\active\[activeChallengeId].tsx","643","0","50958"
"20","app\challenge\complete.tsx","314","0","708"
"21","app\create\_layout.tsx","4","0","1"
"22","app\create\index.tsx","5","0","136"
"23","app\create-challenge.tsx","13","0","6"
"24","app\create-profile.tsx","314","0","8"
"25","app\edit-profile.tsx","274","0","7"
"26","app\follow-list.tsx","310","0","7"
"27","app\invite\[code].tsx","35","0","50095"
"28","app\legal\_layout.tsx","9","0","1"
"29","app\legal\privacy-policy.tsx","47","0","5"
"30","app\legal\terms.tsx","48","0","22"
"31","app\onboarding\_layout.tsx","14","0","1"
"32","app\onboarding\index.tsx","13","0","136"
"33","app\paywall.tsx","626","0","17"
"34","app\post\[id].tsx","557","0","43039"
"35","app\profile\[username].tsx","888","0","50476"
"36","app\settings.tsx","360","0","86"
"37","app\task\checkin.tsx","594","0","270"
"38","app\task\checkin-styles.ts","324","0","4"
"39","app\task\complete.tsx","14","0","721"
"40","app\task\run.tsx","912","0","505"
"41","app\task\run-styles.ts","544","0","4"
"42","components\activity\activity-styles.ts","446","0","3"
"43","components\activity\LeaderboardTab.tsx","722","0","2"
"44","components\activity\NotificationsTab.tsx","317","0","2"
"45","components\activity\types.ts","26","0","95"
"46","components\AnalyticsBootstrap.tsx","17","0","2"
"47","components\AuthGateModal.tsx","171","0","3"
"48","components\Avatar.tsx","65","0","420"
"49","components\Celebration.tsx","268","0","126"
"50","components\challenge\challengeDetailScreenStyles.ts","1152","0","7"
"51","components\challenge\ChallengeHero.tsx","139","0","2"
"52","components\challenge\challengeInfoChip.tsx","19","0","1"
"53","components\challenge\ChallengeLeaderboard.tsx","41","0","2"
"54","components\challenge\challengeSocialAvatars.tsx","23","0","1"
"55","components\challenge\ChallengeStats.tsx","27","0","2"
"56","components\challenge\ChallengeTodayGoals.tsx","14","0","3"
"57","components\challenge\LogProgressModal.tsx","190","0","2"
"58","components\challenge\SharedGoalProgress.tsx","292","0","2"
"59","components\challenge\TeamMemberList.tsx","200","0","2"
"60","components\challenges\HeroFeaturedCard.tsx","132","0","2"
"61","components\challenges\JoinCelebrationModal.tsx","175","0","2"
"62","components\create\CommitModal.tsx","155","0","7"
"63","components\create\CreateChallengeWizard.tsx","456","0","9"
"64","components\create\DraftExitModal.tsx","58","0","2"
"65","components\create\NewTaskModal.tsx","1838","0","2"
"66","components\create\steps\StepBasics.tsx","184","0","6"
"67","components\create\steps\StepReview.tsx","265","0","2"
"68","components\create\steps\StepRules.tsx","215","0","2"
"69","components\create\steps\StepTasks.tsx","124","0","2"
"70","components\create\wizard-shared.tsx","89","0","3"
"71","components\create\WizardStepFooter.tsx","118","0","2"
"72","components\create\wizard-styles.ts","304","0","7"
"73","components\discover\ActivityTicker.tsx","187","0","2"
"74","components\discover\CompactChallengeRow.tsx","161","0","4"
"75","components\discover\DiscoverChallengeCards.tsx","309","0","1"
"76","components\discover\FilterChips.tsx","74","0","2"
"77","components\discover\PickedForYou.tsx","196","0","4"
"78","components\ErrorBoundary.tsx","95","0","103"
"79","components\ErrorRetry.tsx","54","0","4"
"80","components\feed\FeedCardHeader.tsx","175","0","6"
"81","components\feed\FeedEngagementRow.tsx","119","0","6"
"82","components\feed\FeedPostCard.tsx","398","0","8"
"83","components\feed\feedTypes.ts","36","0","7"
"84","components\feed\MilestonePostCard.tsx","128","0","4"
"85","components\feed\WhoRespectedSheet.tsx","200","0","4"
"86","components\home\ActiveChallenges.tsx","183","0","18"
"87","components\home\ActiveTaskCard.tsx","131","0","12"
"88","components\home\ChallengeCard.tsx","207","0","28"
"89","components\home\DailyBonus.tsx","102","0","2"
"90","components\home\DailyQuote.tsx","50","0","7"
"91","components\home\DailyStatus.tsx","149","0","2"
"92","components\home\DiscoverCTA.tsx","68","0","4"
"93","components\home\EmptyChallengesCard.tsx","69","0","3"
"94","components\home\ExploreChallengesButton.tsx","47","0","1"
"95","components\home\GoalCard.tsx","359","0","9"
"96","components\home\index.ts","8","0","136"
"97","components\home\NextUnlock.tsx","76","0","2"
"98","components\home\PointsExplainer.tsx","173","0","6"
"99","components\home\StreakHero.tsx","170","0","2"
"100","components\home\WeekStrip.tsx","155","0","2"
"101","components\InlineError.tsx","78","0","78"
"102","components\LiveFeedSection.tsx","663","0","2"
"103","components\OfflineBanner.tsx","31","0","2"
"104","components\onboarding\OnboardingFlow.tsx","148","0","2"
"105","components\onboarding\onboarding-theme.ts","125","0","8"
"106","components\onboarding\ProgressDots.tsx","44","0","5"
